日付,借方名称,金額,摘要,file,rows
2014-07-16,会議費,5806.0,きんちゃん家　打合せ食事代,new_2006000022_te_27_6.csv,1
2014-07-08,会議費,3554.0,白木屋　打合せ食事代,new_2006000022_te_27_6.csv,3
2014-08-02,会議費,13750.0,きんちゃん家　打合せ４名食事代,new_2006000022_te_27_6.csv,7
2014-08-08,会議費,1750.0,海鮮三崎港　打合せ食事代,new_2006000022_te_27_6.csv,12
2014-08-14,会議費,8649.0,海賊　打合せ食事代,new_2006000022_te_27_6.csv,13
2014-09-20,会議費,5519.0,きんちゃん家　打合せ食事代,new_2006000022_te_27_6.csv,21
2014-07-21,会議費,22413.0,天空の囲　打合せ飲食代５名,new_2006000022_te_27_6.csv,162
2015-03-22,会議費,129.0,どらっぐぱぱす　来客用飲料,new_2006000022_te_27_6.csv,557
2015-06-25,会議費,4695.0,きんちゃん家　打合せ,new_2006000022_te_27_6.csv,582
2014-11-24,会議費,5172.0,博多満月　打合せ,new_2006000022_te_27_6.csv,583
2015-03-12,会議費,7834.0,㈱ニュー加賀屋　打合せ,new_2006000022_te_27_6.csv,584
2014-09-06,会議費,4149.0,炭焼ステーキくに　打合せ,new_2006000022_te_27_6.csv,585
2014-11-13,会議費,12590.0,わたみん家　3名打合せ,new_2006000022_te_27_6.csv,586
2015-03-20,会議費,8337.0,わたみん家　2名打合せ,new_2006000022_te_27_6.csv,587
2015-03-14,会議費,3815.0,鶴橋風月　打合せ,new_2006000022_te_27_6.csv,588
2014-11-23,会議費,6170.0,世界の山ちゃん　打合せ,new_2006000022_te_27_6.csv,589
2014-10-11,会議費,3491.0,みかみ　打合せ,new_2006000022_te_27_6.csv,590
2014-10-05,会議費,7028.0,ちゃんこ道場　打合せ,new_2006000022_te_27_6.csv,591
2014-10-25,会議費,7870.0,キャスバル　打合せ,new_2006000022_te_27_6.csv,592
2014-10-17,会議費,7232.0,豚竜　　打合せ,new_2006000022_te_27_6.csv,593
2014-12-25,会議費,5830.0,わたみん家　打合せ,new_2006000022_te_27_6.csv,594
2014-12-16,会議費,4084.0,元太丸　打合せ,new_2006000022_te_27_6.csv,595
2014-12-06,会議費,482.0,カフェドクリエ　打合せ,new_2006000022_te_27_6.csv,596
2014-12-07,会議費,4547.0,カフェシンガプーラ　打合せ,new_2006000022_te_27_6.csv,597
2014-12-10,会議費,4630.0,築地傳　打合せ,new_2006000022_te_27_6.csv,598
2014-12-15,会議費,6195.0,きんちゃん家　打合せ,new_2006000022_te_27_6.csv,599
2014-12-17,会議費,4445.0,とん政　打合せ,new_2006000022_te_27_6.csv,600
2015-04-29,会議費,11834.0,きんちゃん家　3名打合せ,new_2006000022_te_27_6.csv,601
2015-04-28,会議費,2010.0,コメダ珈琲　3名打合せ,new_2006000022_te_27_6.csv,602
2015-05-09,会議費,880.0,エクセルシオール　打合せ,new_2006000022_te_27_6.csv,603
2015-05-03,会議費,1834.0,CAFE　ZEBRA　打合せ,new_2006000022_te_27_6.csv,604
2015-03-24,会議費,1658.0,ジョナサン　打合せ,new_2006000022_te_27_6.csv,605
2015-04-26,会議費,6769.0,炭火焼肉福八　打合せ,new_2006000022_te_27_6.csv,606
2015-04-16,会議費,3360.0,わたみん家　打合せ,new_2006000022_te_27_6.csv,607
2015-05-06,会議費,8082.0,アケボノヤ　打合せ,new_2006000022_te_27_6.csv,608
2015-04-26,会議費,2188.0,磯丸水産　打合せ,new_2006000022_te_27_6.csv,609
2015-05-15,会議費,6014.0,炭火やきとんkuu　打合せ,new_2006000022_te_27_6.csv,610
2015-06-05,会議費,7750.0,みかみ　3名打合せ,new_2006000022_te_27_6.csv,611
2015-06-16,会議費,2973.0,バンコクピーナッツ食堂　打合せ,new_2006000022_te_27_6.csv,612
2015-06-20,会議費,5176.0,しばらく　打合せ,new_2006000022_te_27_6.csv,613
2015-06-20,会議費,1852.0,築地傳　打合せ,new_2006000022_te_27_6.csv,614
2015-05-19,会議費,4754.0,鳥貴族　打合せ,new_2006000022_te_27_6.csv,615
2015-03-21,会議費,2778.0,馬鹿うまもつ真路　打合せ,new_2006000022_te_27_6.csv,616
2015-05-09,会議費,982.0,日高屋　打合せ,new_2006000022_te_27_6.csv,617
2015-06-02,会議費,1417.0,とよだ鮨　打合せ,new_2006000022_te_27_6.csv,618
2015-05-29,会議費,3047.0,きんちゃん家　打合せ,new_2006000022_te_27_6.csv,619
2015-03-26,会議費,4880.0,きんちゃん家　打合せ,new_2006000022_te_27_6.csv,620
2015-05-17,会議費,3980.0,世界の山ちゃん　打合せ,new_2006000022_te_27_6.csv,621
2015-03-19,会議費,7250.0,ろばた焼海賊　打合せ,new_2006000022_te_27_6.csv,622
2015-03-24,会議費,3705.0,ちよだ鮨　打合せ,new_2006000022_te_27_6.csv,623
2015-02-07,会議費,602.0,ドトール　打合せ,new_2006000022_te_27_6.csv,624
2015-05-16,会議費,3355.0,ビリーザキッド　打合せ,new_2006000022_te_27_6.csv,625
2015-02-14,会議費,8380.0,adagio　5名打合せ,new_2006000022_te_27_6.csv,626
2015-02-14,会議費,3289.0,文蔵　打合せ,new_2006000022_te_27_6.csv,627
2015-03-05,会議費,1360.0,サイゼリヤ　打合せ,new_2006000022_te_27_6.csv,628
2015-03-10,会議費,4440.0,HOMELLA　3名打合せ,new_2006000022_te_27_6.csv,629
2015-03-07,会議費,8046.0,磯丸水産　打合せ,new_2006000022_te_27_6.csv,630
2015-02-18,会議費,6420.0,わたみん家　打合せ,new_2006000022_te_27_6.csv,631
2015-02-06,会議費,3519.0,馬力　打合せ,new_2006000022_te_27_6.csv,632
2015-01-31,会議費,5241.0,いくどん　打合せ,new_2006000022_te_27_6.csv,633
2015-01-26,会議費,797.0,コメダ珈琲　打合せ,new_2006000022_te_27_6.csv,634
2015-01-27,会議費,6690.0,わたみん家　打合せ,new_2006000022_te_27_6.csv,635
2015-02-02,会議費,1589.0,サイゼリヤ　打合せ,new_2006000022_te_27_6.csv,636
2015-01-18,会議費,2547.0,亀戸餃子　打合せ,new_2006000022_te_27_6.csv,637
2015-04-18,会議費,11628.0,てけてけ　3名打合せ,new_2006000022_te_27_6.csv,638
2015-04-04,会議費,408.0,ドトール　打合せ,new_2006000022_te_27_6.csv,639
2015-03-24,会議費,436.0,ベローチェ　打合せ,new_2006000022_te_27_6.csv,640
2015-05-23,会議費,5417.0,鮨竹若　打合せ,new_2006000022_te_27_6.csv,649
2015-07-28,会議費,926.0,カフェベローチェ　打ち合わせ喫茶代　№35,new_2005000077_W_28_5.csv,61
2015-07-28,会議費,11852.0,イタリアンバルうえちゃん其の2　撮影スタッフ打ち合わせ食事代　4名,new_2005000077_W_28_5.csv,631
2015-08-04,会議費,4380.0,ビストロ酒場　案件打ち合わせ　2名,new_2005000077_W_28_5.csv,632
2015-08-05,会議費,8513.0,天狗　案件スタッフ打ち合わせ　3名,new_2005000077_W_28_5.csv,633
2015-08-10,会議費,491.0,タリーズコーヒー　打ち合わせ喫茶代　割り勘1名分,new_2005000077_W_28_5.csv,635
2015-08-24,会議費,334.0,タリーズコーヒー　打ち合わせ喫茶代　割り勘1名分,new_2005000077_W_28_5.csv,637
2015-09-15,会議費,320.0,スタバ　案件打ち合わせ,new_2005000077_W_28_5.csv,638
2015-10-08,会議費,4897.0,Vinuls　案件打ち合わせ　2名,new_2005000077_W_28_5.csv,640
2015-10-30,会議費,6260.0,横浜魚酒場　案件打ち合わせ　2名,new_2005000077_W_28_5.csv,641
2015-11-02,会議費,3334.0,MANGROVE　案件打ち合わせ　2名,new_2005000077_W_28_5.csv,642
2015-11-30,会議費,1575.0,㈱だん家　プレゼン前打ち合わせ　2名,new_2005000077_W_28_5.csv,643
2016-01-04,会議費,9500.0,山東　イベント関連ミーティング　コアメンバ2名,new_2005000077_W_28_5.csv,646
2016-01-04,会議費,7347.0,磯丸水産　イベントスタッフ打ち合わせ　4名,new_2005000077_W_28_5.csv,647
2016-01-21,会議費,7989.0,庄や　イベントスタッフ打ち合わせ　4名,new_2005000077_W_28_5.csv,652
2016-01-25,会議費,973.0,麹町カフェ　アルバイトスタッフ面談　2名,new_2005000077_W_28_5.csv,653
2016-01-26,会議費,9189.0,庄や　撮影クルー打ち合わせ　3名,new_2005000077_W_28_5.csv,654
2016-01-27,会議費,1010.0,スタバ　撮影前ミーティング　3名,new_2005000077_W_28_5.csv,655
2016-01-29,会議費,797.0,ガスト星川駅前店　撮影後編集ミーティング　2名,new_2005000077_W_28_5.csv,656
2015-06-26,会議費,1150.0,6/8㈱スズキヤ　打ち合わせ食事代,new_2005000077_W_28_5.csv,717
2015-06-26,会議費,1230.0,6/8スターバックスコーヒー　打ち合わせ喫茶代,new_2005000077_W_28_5.csv,718
2015-06-26,会議費,4167.0,中華料理花園　打ち合わせ食事代,new_2005000077_W_28_5.csv,719
2015-06-26,会議費,3500.0,6/11慶華飯店　打ち合わせ食事代,new_2005000077_W_28_5.csv,720
2015-07-07,会議費,612.0,アレフランス・カフェダリア　打ち合わせ喫茶代,new_2005000077_W_28_5.csv,769
2016-01-31,会議費,5093.0,レッドロブスター　打ち合わせ食事代/ウクレレアカデミー施策,new_2005000077_W_28_5.csv,825
2016-02-03,会議費,1194.0,サミットストア　打ち合わせ食事代　シンポー情報システム編集者2名,new_2005000077_W_28_5.csv,862
2016-02-04,会議費,426.0,カフェベローチェ　ﾌﾗｯｸｽウェブサイト更新方法打ち合わせ（2名）,new_2005000077_W_28_5.csv,865
2016-02-18,会議費,8275.0,Pillar Cafe　ｲﾍﾞﾝﾄ前ﾐｰﾃｨﾝｸﾞ代,new_2005000077_W_28_5.csv,926
2016-02-17,会議費,1621.0,麹町カフェ　案件打ち合わせ,new_2005000077_W_28_5.csv,928
2016-02-15,会議費,7121.0,花えん3　案件打ち合わせ　2名,new_2005000077_W_28_5.csv,934
2016-02-14,会議費,9340.0,アリラン亭　案件打ち合わせ　3名,new_2005000077_W_28_5.csv,935
2016-02-21,会議費,4250.0,rooftops　ウクレレイベント打ち合わせ　2名,new_2005000077_W_28_5.csv,960
2016-02-23,会議費,6019.0,うえちゃん　案件打ち合わせ　2名,new_2005000077_W_28_5.csv,970
2016-02-29,会議費,640.0,スターバックス　案件打ち合わせ　2名,new_2005000077_W_28_5.csv,977
2016-03-01,会議費,4560.0,㈱ゴールデンマジック　千葉撮影スタッフ打ち合わせ（2名）,new_2005000077_W_28_5.csv,981
2016-03-06,会議費,4950.0,ライオン相鉄店　スタッフ打ち合わせ,new_2005000077_W_28_5.csv,992
2016-03-12,会議費,11050.0,カフェ・ド・ノヴァ　スタッフ顔合わせ　2名,new_2005000077_W_28_5.csv,1318
2016-03-15,会議費,9591.0,花れん3　案件打ち合わせ　3名,new_2005000077_W_28_5.csv,1325
2016-03-24,会議費,2834.0,㈱ハイデイ日高　クルー打ち合わせ食事代　3名,new_2005000077_W_28_5.csv,1337
2016-03-25,会議費,6339.0,庄や　新規案件打ち合わせ（3名）,new_2005000077_W_28_5.csv,1341
2016-04-03,会議費,7040.0,串かつ　レコーディングエンジニア打ち合わせ及び接待,new_2005000077_W_28_5.csv,1364
2016-04-08,会議費,5680.0,飛梅　スタッフ打ち合わせ,new_2005000077_W_28_5.csv,1371
2016-04-13,会議費,3473.0,あべちゃん　スタッフ打ち上げ2件（2名）,new_2005000077_W_28_5.csv,1374
2016-04-13,会議費,1797.0,㈱ハブ　スタッフ打ち上げ2件（2名）,new_2005000077_W_28_5.csv,1375
2016-04-15,会議費,3880.0,くし家　撮影スタッフ食事2名,new_2005000077_W_28_5.csv,1380
2016-04-22,会議費,1389.0,㈱マーケティング谷屋　編集スタッフ打ち合わせ2名,new_2005000077_W_28_5.csv,1391
2016-04-25,会議費,8410.0,庄や　イベントスタッフ打ち合わせ4名,new_2005000077_W_28_5.csv,1394
2016-04-26,会議費,10973.0,いちだい　シンポー情報システム撮影スタッフ打ち合わせ及び打ち上げ3名,new_2005000077_W_28_5.csv,1402
2016-04-30,会議費,14908.0,とよだ　クルー昼食9名,new_2005000077_W_28_5.csv,1409
2016-04-25,会議費,3426.0,あわじや　鴨川撮影時昼食3名分,new_2005000077_W_28_5.csv,1416
2016-02-23,会議費,11374.0,ちゅらり　案件打ち合わせ,new_2005000077_W_28_5.csv,1529
2016-05-11,会議費,3630.0,うえちゃん　ミーティング2名,new_2005000077_W_28_5.csv,1580
2016-05-13,会議費,2223.0,夏至茶屋　ミーティング3名,new_2005000077_W_28_5.csv,1582
2016-05-11,会議費,12778.0,アロハテーブル　ミーティング3名,new_2005000077_W_28_5.csv,1589
2016-05-20,会議費,1150.0,はま寿司　ミーティング2名,new_2005000077_W_28_5.csv,1593
2016-05-23,会議費,8908.0,いちだい　ミーティング2名,new_2005000077_W_28_5.csv,1597
2016-05-23,会議費,4954.0,Tennocho Wine＆Kichen RUSH　ミーティング2名,new_2005000077_W_28_5.csv,1598
2016-05-31,会議費,5339.0,㈱KRフーズサービス　ミーティング6名,new_2005000077_W_28_5.csv,1601
2016-05-26,会議費,2269.0,いろは　ミーティング3名,new_2005000077_W_28_5.csv,1604
2016-05-25,会議費,1649.0,ロイヤルホスト㈱　ミーティング2名,new_2005000077_W_28_5.csv,1605
2016-05-16,会議費,448.0,ファミリーマート　ミーティング用おちゃ代,new_2005000077_W_28_5.csv,1619
2015-09-16,会議費,2362.0,神山楼　打合せ食事代,new_2008000061.csv,10
2015-09-11,会議費,1393.0,ガスト　打合せ食事代,new_2008000061.csv,57
2015-09-29,会議費,2325.0,デニーズ　打合せ食事代,new_2008000061.csv,63
2015-10-21,会議費,652.0,ヤックスドラック　会議飲料代,new_2008000061.csv,302
2015-10-17,会議費,8112.0,満留賀　打合せ食事代,new_2008000061.csv,316
2015-10-17,会議費,704.0,吉野屋　打合せ食事代,new_2008000061.csv,318
2015-10-23,会議費,1760.0,開進　打合せ食事代,new_2008000061.csv,320
2015-10-24,会議費,1945.0,かつ城　打合せ食事代,new_2008000061.csv,321
2015-10-23,会議費,6945.0,アジアンロード　打合せ食事代,new_2008000061.csv,505
2015-11-05,会議費,1575.0,更科　打合せ食事代,new_2008000061.csv,522
2015-11-09,会議費,1589.0,セブンイレブン　打合せ食事代,new_2008000061.csv,605
2015-11-17,会議費,3704.0,ありが豚　打合せ食事代,new_2008000061.csv,617
2015-11-18,会議費,12612.0,魚金　内山打合せ食事代,new_2008000061.csv,628
2015-11-16,会議費,1186.0,会議食事代,new_2008000061.csv,634
2015-11-18,会議費,563.0,セブンイレブン　ウシオ電機打合せ弁当代,new_2008000061.csv,635
2015-12-17,会議費,593.0,まごころ弁当　会議用弁当代,new_2008000061.csv,910
2015-12-22,会議費,4352.0,ありが豚　打合せ食事代,new_2008000061.csv,985
2015-12-21,会議費,4080.0,ばんどう太郎　打合せ食事代,new_2008000061.csv,991
2015-12-24,会議費,8722.0,銚子丸　打合せ食事代,new_2008000061.csv,1030
2016-01-04,会議費,2540.0,ＣＯＣＯ’Ｓ　打合せ食事代,new_2008000061.csv,1036
2016-01-15,会議費,1075.0,ガスト柏　打合せ食事代,new_2008000061.csv,1144
2016-03-03,会議費,11760.0,モアガーデン　会議費,new_2008000061.csv,1486
2016-03-15,会議費,12380.0,温野菜　打合せ食事代,new_2008000061.csv,1492
2016-04-05,会議費,2399.0,会議用お弁当代,new_2008000061.csv,1738
2016-04-15,会議費,2038.0,デニーズ　打合せ食事代,new_2008000061.csv,1751
2016-04-18,会議費,954.0,まごころ弁当　会議弁当代,new_2008000061.csv,1752
2016-04-08,会議費,1599.0,デニーズ　打合せ食事代,new_2008000061.csv,1889
2016-05-18,会議費,2038.0,いさ勝　打合せ食事代,new_2008000061.csv,2071
